ecosystem,packageName,name,displayName,description,recipeCount,category1,category2,category3,category4,category1Description,category2Description,category3Description,category4Description,options,dataTables
maven,org.openrewrite.recipe:rewrite-dropwizard,org.openrewrite.java.dropwizard.AddMissingApplicationProperties,Add application.properties if missing,This recipe creates an application.properties file in the resources folder if it does not exist.,3,,,Dropwizard,Java,,,Recipes for upgrading and patching [Dropwizard](https://dropwizard.io/) applications.,Basic building blocks for transforming Java code.,,
maven,org.openrewrite.recipe:rewrite-dropwizard,org.openrewrite.java.dropwizard.AddCoreExampleProperties,Add Core Example Properties,Adds core example properties to the application.properties file.,9,,,Dropwizard,Java,,,Recipes for upgrading and patching [Dropwizard](https://dropwizard.io/) applications.,Basic building blocks for transforming Java code.,,
maven,org.openrewrite.recipe:rewrite-dropwizard,org.openrewrite.java.dropwizard.AddActuatorConfiguration,Add Spring Boot Actuator Configuration,Configures Spring Boot Actuator endpoints and health checks in application.properties.,9,,,Dropwizard,Java,,,Recipes for upgrading and patching [Dropwizard](https://dropwizard.io/) applications.,Basic building blocks for transforming Java code.,,
maven,org.openrewrite.recipe:rewrite-dropwizard,org.openrewrite.java.dropwizard.AddHibernateConfiguration,Add Hibernate Configuration,Configures Spring Boot Hibernate and JPA settings in application.properties.,11,,,Dropwizard,Java,,,Recipes for upgrading and patching [Dropwizard](https://dropwizard.io/) applications.,Basic building blocks for transforming Java code.,,
maven,org.openrewrite.recipe:rewrite-dropwizard,org.openrewrite.java.dropwizard.AddJerseyConfiguration,Add Jersey Configuration,Configures essential Jersey properties in Spring Boot that complement the JerseyConfig class.,7,,,Dropwizard,Java,,,Recipes for upgrading and patching [Dropwizard](https://dropwizard.io/) applications.,Basic building blocks for transforming Java code.,,
maven,org.openrewrite.recipe:rewrite-dropwizard,org.openrewrite.java.dropwizard.MigrateDropwizardToSpringBoot,Migrate Dropwizard to Spring Boot,Apply various changes to migrate Dropwizard applications to Spring Boot.,467,,,Dropwizard,Java,,,Recipes for upgrading and patching [Dropwizard](https://dropwizard.io/) applications.,Basic building blocks for transforming Java code.,,"[{""name"":""org.openrewrite.maven.table.MavenMetadataFailures"",""displayName"":""Maven metadata failures"",""description"":""Attempts to resolve maven metadata that failed."",""columns"":[{""name"":""group"",""type"":""String"",""displayName"":""Group id"",""description"":""The groupId of the artifact for which the metadata download failed.""},{""name"":""artifactId"",""type"":""String"",""displayName"":""Artifact id"",""description"":""The artifactId of the artifact for which the metadata download failed.""},{""name"":""version"",""type"":""String"",""displayName"":""Version"",""description"":""The version of the artifact for which the metadata download failed.""},{""name"":""mavenRepositoryUri"",""type"":""String"",""displayName"":""Maven repository"",""description"":""The URL of the Maven repository that the metadata download failed on.""},{""name"":""snapshots"",""type"":""String"",""displayName"":""Snapshots"",""description"":""Does the repository support snapshots.""},{""name"":""releases"",""type"":""String"",""displayName"":""Releases"",""description"":""Does the repository support releases.""},{""name"":""failure"",""type"":""String"",""displayName"":""Failure"",""description"":""The reason the metadata download failed.""}]}]"
maven,org.openrewrite.recipe:rewrite-dropwizard,org.openrewrite.java.dropwizard.CoreSetup,Create Spring Boot Application Entry Point,Creates the main Spring Boot application class.,63,,,Dropwizard,Java,,,Recipes for upgrading and patching [Dropwizard](https://dropwizard.io/) applications.,Basic building blocks for transforming Java code.,,"[{""name"":""org.openrewrite.maven.table.MavenMetadataFailures"",""displayName"":""Maven metadata failures"",""description"":""Attempts to resolve maven metadata that failed."",""columns"":[{""name"":""group"",""type"":""String"",""displayName"":""Group id"",""description"":""The groupId of the artifact for which the metadata download failed.""},{""name"":""artifactId"",""type"":""String"",""displayName"":""Artifact id"",""description"":""The artifactId of the artifact for which the metadata download failed.""},{""name"":""version"",""type"":""String"",""displayName"":""Version"",""description"":""The version of the artifact for which the metadata download failed.""},{""name"":""mavenRepositoryUri"",""type"":""String"",""displayName"":""Maven repository"",""description"":""The URL of the Maven repository that the metadata download failed on.""},{""name"":""snapshots"",""type"":""String"",""displayName"":""Snapshots"",""description"":""Does the repository support snapshots.""},{""name"":""releases"",""type"":""String"",""displayName"":""Releases"",""description"":""Does the repository support releases.""},{""name"":""failure"",""type"":""String"",""displayName"":""Failure"",""description"":""The reason the metadata download failed.""}]}]"
maven,org.openrewrite.recipe:rewrite-dropwizard,org.openrewrite.java.dropwizard.MigrateHealthChecksAndMetrics,Add Spring Boot Actuator,Configures Spring Boot Actuator with basic health endpoints.,23,,,Dropwizard,Java,,,Recipes for upgrading and patching [Dropwizard](https://dropwizard.io/) applications.,Basic building blocks for transforming Java code.,,"[{""name"":""org.openrewrite.maven.table.MavenMetadataFailures"",""displayName"":""Maven metadata failures"",""description"":""Attempts to resolve maven metadata that failed."",""columns"":[{""name"":""group"",""type"":""String"",""displayName"":""Group id"",""description"":""The groupId of the artifact for which the metadata download failed.""},{""name"":""artifactId"",""type"":""String"",""displayName"":""Artifact id"",""description"":""The artifactId of the artifact for which the metadata download failed.""},{""name"":""version"",""type"":""String"",""displayName"":""Version"",""description"":""The version of the artifact for which the metadata download failed.""},{""name"":""mavenRepositoryUri"",""type"":""String"",""displayName"":""Maven repository"",""description"":""The URL of the Maven repository that the metadata download failed on.""},{""name"":""snapshots"",""type"":""String"",""displayName"":""Snapshots"",""description"":""Does the repository support snapshots.""},{""name"":""releases"",""type"":""String"",""displayName"":""Releases"",""description"":""Does the repository support releases.""},{""name"":""failure"",""type"":""String"",""displayName"":""Failure"",""description"":""The reason the metadata download failed.""}]}]"
maven,org.openrewrite.recipe:rewrite-dropwizard,org.openrewrite.java.dropwizard.ModifyDropwizardHealthChecksToSpringVariants,Convert Health Check Implementations,Transforms Dropwizard HealthCheck classes to Spring Boot HealthIndicator.,5,,,Dropwizard,Java,,,Recipes for upgrading and patching [Dropwizard](https://dropwizard.io/) applications.,Basic building blocks for transforming Java code.,,
maven,org.openrewrite.recipe:rewrite-dropwizard,org.openrewrite.java.dropwizard.MigrateConfigurationClass,Migrate Configuration Class,Converts Dropwizard Configuration to Spring Boot format.,11,,,Dropwizard,Java,,,Recipes for upgrading and patching [Dropwizard](https://dropwizard.io/) applications.,Basic building blocks for transforming Java code.,,
maven,org.openrewrite.recipe:rewrite-dropwizard,org.openrewrite.java.dropwizard.MigrateResourcesToSpringJersey,Migrate Resource Classes,Converts Dropwizard Resources to Spring Boot format.,39,,,Dropwizard,Java,,,Recipes for upgrading and patching [Dropwizard](https://dropwizard.io/) applications.,Basic building blocks for transforming Java code.,,"[{""name"":""org.openrewrite.maven.table.MavenMetadataFailures"",""displayName"":""Maven metadata failures"",""description"":""Attempts to resolve maven metadata that failed."",""columns"":[{""name"":""group"",""type"":""String"",""displayName"":""Group id"",""description"":""The groupId of the artifact for which the metadata download failed.""},{""name"":""artifactId"",""type"":""String"",""displayName"":""Artifact id"",""description"":""The artifactId of the artifact for which the metadata download failed.""},{""name"":""version"",""type"":""String"",""displayName"":""Version"",""description"":""The version of the artifact for which the metadata download failed.""},{""name"":""mavenRepositoryUri"",""type"":""String"",""displayName"":""Maven repository"",""description"":""The URL of the Maven repository that the metadata download failed on.""},{""name"":""snapshots"",""type"":""String"",""displayName"":""Snapshots"",""description"":""Does the repository support snapshots.""},{""name"":""releases"",""type"":""String"",""displayName"":""Releases"",""description"":""Does the repository support releases.""},{""name"":""failure"",""type"":""String"",""displayName"":""Failure"",""description"":""The reason the metadata download failed.""}]}]"
